"filename", "language", "Markdown", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\my1stclicker\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\User\Documents\GitHub\my1stclicker\index.html", "HTML", 0, 0, 0, 0, 1955, 14, 74, 2043
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\achievements.css", "CSS", 0, 0, 0, 152, 0, 1, 31, 184
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\buttons.css", "CSS", 0, 0, 0, 0, 0, 19, 1, 20
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\fonts.css", "CSS", 0, 0, 0, 33, 0, 0, 3, 36
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\info.css", "CSS", 0, 0, 0, 79, 0, 0, 12, 91
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\main.css", "CSS", 0, 0, 0, 1079, 0, 2, 129, 1210
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\miscellaneous.css", "CSS", 0, 0, 0, 257, 0, 1, 40, 298
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\settings.css", "CSS", 0, 0, 0, 311, 0, 2, 43, 356
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\cssfiles\upgrades.css", "CSS", 0, 0, 0, 236, 0, 0, 27, 263
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\automation.js", "JavaScript", 0, 0, 6, 0, 0, 88, 11, 105
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\changelog.md", "Markdown", 121, 0, 0, 0, 0, 0, 9, 130
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\changelogru.md", "Markdown", 121, 0, 0, 0, 0, 0, 16, 137
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\endscreen.css", "CSS", 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\fortune.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\pisanina.js", "JavaScript", 0, 0, 4, 0, 0, 388, 25, 417
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\prestige.css", "CSS", 0, 0, 0, 76, 0, 0, 1, 77
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\prestige.js", "JavaScript", 0, 0, 0, 0, 0, 119, 8, 127
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\upgrades.js", "JavaScript", 0, 0, 564, 0, 0, 0, 42, 606
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\garbage\vars.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\achievements.js", "JavaScript", 0, 0, 105, 0, 0, 0, 7, 112
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\changelog.js", "JavaScript", 0, 0, 52, 0, 0, 0, 4, 56
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\clicker.js", "JavaScript", 0, 0, 1271, 0, 0, 34, 146, 1451
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\en.json", "JSON", 0, 623, 0, 0, 0, 0, 116, 739
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\functions.js", "JavaScript", 0, 0, 932, 0, 0, 13, 80, 1025
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\languages.js", "JavaScript", 0, 0, 831, 0, 0, 10, 168, 1009
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\layers.js", "JavaScript", 0, 0, 228, 0, 0, 2, 22, 252
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\ru.json", "JSON", 0, 621, 0, 0, 0, 0, 117, 738
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\saving.js", "JavaScript", 0, 0, 685, 0, 0, 2, 105, 792
"c:\Users\User\Documents\GitHub\my1stclicker\javascript\jsfiles\upgrades2.0.js", "JavaScript", 0, 0, 1279, 0, 0, 10, 88, 1377
"c:\Users\User\Documents\GitHub\my1stclicker\package-lock.json", "JSON", 0, 70, 0, 0, 0, 0, 1, 71
"c:\Users\User\Documents\GitHub\my1stclicker\package.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"Total", "-", 251, 1321, 5970, 2258, 1955, 705, 1335, 13795
